Time(longsecs),Time(UTC),Temperature(&deg;C),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1507321877,2017-10-06 20:31:17.584,2.322525E1,-1.1747808E0,-1.173461E0,-1.1819019E0,
1507321937,2017-10-06 20:32:17.609,2.3236816E1,-1.1833668E0,-1.1790295E0,-1.1887045E0,
1507321997,2017-10-06 20:33:17.584,2.2914978E1,-1.162096E0,-1.1573639E0,-1.1648808E0,
1507322057,2017-10-06 20:34:17.609,2.313797E1,-1.164279E0,-1.1641989E0,-1.1715364E0,
1507322117,2017-10-06 20:35:17.584,2.3048553E1,-1.1703167E0,-1.1666155E0,-1.17525E0,
1507322177,2017-10-06 20:36:17.584,2.3047516E1,-1.1686287E0,-1.1671219E0,-1.1774693E0,
1507322237,2017-10-06 20:37:17.584,2.317163E1,-1.1824608E0,-1.1810408E0,-1.1875811E0,
1507322297,2017-10-06 20:38:17.584,2.3331482E1,-1.1744823E0,-1.1718407E0,-1.184927E0,
1507322357,2017-10-06 20:39:17.584,2.3122192E1,-1.1665668E0,-1.1643972E0,-1.1717157E0,
1507322417,2017-10-06 20:40:17.584,2.3188446E1,-1.1724377E0,-1.1741009E0,-1.1812315E0,
1507322477,2017-10-06 20:41:17.587,2.3168457E1,-1.181179E0,-1.1779041E0,-1.1906605E0,
1507322537,2017-10-06 20:42:17.584,2.3158997E1,-1.1716442E0,-1.160635E0,-1.1743727E0,
1507322597,2017-10-06 20:43:17.584,2.3041199E1,-1.1680136E0,-1.1639013E0,-1.175497E0,
1507322657,2017-10-06 20:44:17.584,2.3205261E1,-1.1795578E0,-1.175952E0,-1.1815262E0,
1507322717,2017-10-06 20:45:17.584,2.3287323E1,-1.1705523E0,-1.1678524E0,-1.1729088E0,
1507322777,2017-10-06 20:46:17.584,2.3134796E1,-1.166729E0,-1.1693106E0,-1.1782331E0,
1507322837,2017-10-06 20:47:17.584,2.3008606E1,-1.1705141E0,-1.1620693E0,-1.1747704E0,
1507322897,2017-10-06 20:48:17.584,2.3034882E1,-1.1807632E0,-1.1722994E0,-1.1789293E0,
1507322957,2017-10-06 20:49:17.584,2.3040161E1,-1.1610594E0,-1.16012E0,-1.1671333E0,
1507323017,2017-10-06 20:50:17.584,2.328836E1,-1.1631832E0,-1.1610918E0,-1.1691074E0,
1507323077,2017-10-06 20:51:17.584,2.3282043E1,-1.1769896E0,-1.173995E0,-1.1807308E0,
1507323137,2017-10-06 20:52:17.587,2.3120087E1,-1.1785975E0,-1.1712322E0,-1.1795912E0,
1507323197,2017-10-06 20:53:17.584,2.3181091E1,-1.1837969E0,-1.1733427E0,-1.1832104E0,
1507323257,2017-10-06 20:54:17.584,2.3127441E1,-1.169198E0,-1.1654768E0,-1.1736097E0,
1507323317,2017-10-06 20:55:17.584,2.3378815E1,-1.1785717E0,-1.1753635E0,-1.1832609E0,
1507323377,2017-10-06 20:56:17.584,2.3291534E1,-1.1624241E0,-1.1629972E0,-1.1705675E0,
1507323437,2017-10-06 20:57:17.585,2.2974945E1,-1.1568232E0,-1.1555796E0,-1.1629992E0,
